IMU(660487,33,-4,303,16286,269,315,29174,830,1744,2549,16895).
IMU(660588,60,-43,299,16033,16654,-24262,29047,538,1726,1160,16572).
IMU(660689,19,-66,310,16394,10215,-555,29046,269,1730,1029,16601).
IMU(660790,96,19,308,15087,10215,7638,29174,562,1825,3181,16095).
IMU(660891,52,-16,311,16480,8462,-7877,29045,538,1865,3074,15585).
IMU(660992,66,-21,303,16725,8462,-16070,29045,1122,3074,1386,17020).
IMU(661093,42,-49,307,15790,8206,-16070,29173,246,2098,1663,16534).
IMU(661194,-23,-17,302,16351,-14361,-555,29174,1146,794,1577,16582).
IMU(661295,81,-21,300,16889,16654,-16069,29175,830,2995,1356,16793).
IMU(661396,81,-55,301,17041,16654,-16069,29174,538,3146,1007,16732).
IMU(661497,15,13,311,15989,270,-7877,29174,830,1198,2612,16677).
IMU(661598,68,-118,304,16165,16526,-32454,29174,830,2554,110,16500).
IMU(661699,89,-8,303,16986,16526,-16069,29174,1122,3171,2421,16695).
IMU(661800,93,-15,304,16717,16654,-24262,29174,830,3002,2486,16439).
IMU(661901,-76,31,309,16932,-7922,8507,29173,1122,-139,3272,16710).
IMU(662002,55,-11,305,16354,16654,-16070,29174,538,2452,1995,16979).
IMU(662103,-10,-24,308,15928,-7922,-7877,29173,1122,-917,2245,16953).
IMU(662204,29,-38,306,16635,270,315,29173,830,2307,1248,16826).
IMU(662305,65,-73,305,16144,-16114,-16069,29174,830,2715,832,16845).
IMU(662406,57,-59,305,16622,8334,-7877,29174,1122,2012,1284,16389).
IMU(662507,55,-18,302,16154,-7922,-16070,29173,538,2107,1782,17056).
IMU(662608,73,-20,307,16187,10215,7638,29045,854,2463,2221,15921).
IMU(662709,74,-85,303,16479,8334,-24262,29173,830,2493,-536,16976).
IMU(662810,14,-46,305,16495,-7922,-24262,29174,1122,1361,1902,16553).
IMU(662911,54,2,304,16355,8462,315,29174,830,2195,2634,16587).
IMU(663012,-35,-4,305,16250,-7922,-7877,29045,538,-52,2632,16893).
IMU(663113,60,-64,303,16576,-16242,-16070,29174,1122,2005,1491,16383).
IMU(663214,20,16,300,16627,1927,7766,29173,853,1159,2605,16649).
IMU(663315,-15,45,301,16349,270,315,29173,830,-472,3518,17262).
IMU(663416,-73,14,306,16386,-16242,315,29046,1122,-753,3250,16733).
IMU(663517,-60,92,303,16751,-7922,8507,29047,830,776,4910,16680).
IMU(663618,-39,70,298,16518,10151,7766,29174,855,-1319,4495,17492).
IMU(663719,-4,18,306,16612,-8050,315,29173,1122,1216,2512,16574).
IMU(663820,-8,18,306,16804,-16114,314,29174,1122,40,2498,16445).
IMU(663921,-16,27,309,16137,-6265,7766,29302,854,973,3019,16973).
IMU(664022,-25,6,302,16410,-32498,-7877,29173,1122,147,1181,17361).
IMU(664123,-13,32,307,15633,-16114,315,29302,830,13,2846,16733).
IMU(664224,21,42,303,16300,-8050,314,29173,1122,2446,2956,16322).
IMU(664325,-26,57,309,16128,270,8507,29047,1122,404,3434,16902).
IMU(664426,-94,37,310,17084,-7922,315,29174,1415,-1791,2945,16559).
IMU(664527,19,-12,301,16814,8462,-7877,29174,1122,-248,2046,16481).
IMU(664628,-45,-25,308,16350,-7922,-7877,29174,538,722,2435,15921).
IMU(664729,9,-49,305,16571,270,-16070,29175,1122,1009,1936,16404).
IMU(664830,-6,51,300,16350,10119,7766,29174,849,1480,3553,17142).
IMU(664931,-138,19,308,16042,-32498,314,29173,245,95,3482,15953).
IMU(665032,0,7,303,15871,-7922,-16070,29303,-46,299,1622,17042).
IMU(665133,-31,7,304,16632,-24306,314,29173,830,-110,2828,16735).
IMU(665234,-97,-30,302,16522,-14360,-554,29301,855,151,1938,16451).
IMU(665335,-16,-39,304,15886,-7922,-16070,29173,-46,1600,1488,16718).
IMU(665436,-32,61,301,16139,-14553,7766,29173,1147,605,3670,16331).
IMU(665537,-13,33,311,16056,9991,7765,28917,854,494,3433,15935).
IMU(665638,-23,12,311,16262,-32626,-7877,29046,830,863,3477,15913).
IMU(665739,77,-28,310,17020,-7922,-7877,29045,830,2815,2377,16216).
IMU(665840,-23,5,305,15496,16526,315,29301,538,780,3003,15961).
IMU(665941,-62,33,311,16636,142,315,29174,1122,-675,3353,16553).
IMU(666042,19,-35,309,17044,-7922,-16070,29302,1415,1082,2638,15905).
IMU(666143,-80,-45,312,16228,-8050,-16070,29173,830,-90,2475,16035).
IMU(666244,38,8,309,15900,-32754,315,28918,246,1582,2907,16407).
IMU(666345,-16,-4,313,16017,-7922,-7877,29173,1122,1222,3205,16191).
