IMU(187302,-47,-52,312,15322,-15880,-7874,29051,538,2036,-1925,15954).
IMU(187403,-25,-71,313,15447,-675,-41,28923,570,1987,-1951,16046).
IMU(187504,3,-76,308,15724,-7688,-7874,28923,246,2217,-2414,16157).
IMU(187605,-66,-42,311,15348,504,-16066,28923,538,2025,-1895,15947).
IMU(187706,-18,-103,311,15759,-8931,-8233,28923,857,1767,-2385,16124).
IMU(187807,-113,-55,310,15436,-7688,-16066,29051,246,1984,-1928,15943).
IMU(187908,-102,-62,311,15328,-32264,-7874,28923,245,1506,-1638,16145).
IMU(188009,8,-55,310,15558,504,16702,28923,538,1708,-1433,16311).
IMU(188110,9,-140,311,15321,7484,-8233,28924,571,2213,-2377,16212).
IMU(188211,24,-123,310,15872,-675,-8233,28923,571,1998,-1997,15981).
IMU(188312,67,-30,309,15192,-1111,5215,28923,672,2005,-1995,15895).
IMU(188413,-11,-36,310,15965,-17123,-8233,28796,573,1522,-1644,16143).
IMU(188514,19,-150,310,15642,7484,16342,28666,565,2004,-1985,15990).
IMU(188615,41,-125,311,15414,16888,-32450,28923,-46,1895,-2322,16511).
IMU(188716,-106,40,312,15258,-24072,16702,28924,246,375,-1106,16620).
IMU(188817,-40,-62,313,15004,504,-7874,28796,246,1964,-2091,16134).
IMU(188918,-1,-8,309,15438,-7688,-7874,29050,538,1971,-1693,16148).
IMU(189019,-17,-117,312,15553,-15880,318,28923,246,1887,-2970,16530).
IMU(189120,-55,-18,310,15835,7452,16343,28922,860,2199,-1692,16125).
IMU(189221,-2,4,309,16013,-739,16343,28794,276,2170,-1712,16129).
IMU(189322,-94,-77,310,14765,-32264,-7874,28795,-339,514,-2479,16487).
IMU(189423,-81,-134,310,16143,-24072,-16066,28795,538,911,-2715,16559).
IMU(189524,17,-152,311,14365,-707,-41,28923,273,1925,-2049,16000).
IMU(189625,-2,-162,311,15297,-282,-10844,28838,69,1908,-2064,16021).
IMU(189726,0,-118,311,16246,-7688,-32450,28667,1415,2051,-2386,16171).
IMU(189827,41,-128,311,15468,-707,-8233,28922,273,1934,-2031,16035).
IMU(189928,-44,-145,312,15525,-32264,-16066,28923,830,2463,-3554,16701).
